"go_id","go_name","aspect","n_pathway","n_matched","dsge","p_value","p_adj"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis","BP",19,17,0.518760485833096,0.313,0.64593893129771
"GO:0001570","vasculogenesis","BP",34,34,0.35751676398231,0.3141,0.646034874905231
"GO:0005198","structural molecule activity","MF",222,162,0.158581295781101,0.314,0.646034874905231
"GO:0005694","chromosome","CC",553,510,0.0881293192747337,0.3156,0.646034874905231
"GO:0007035","vacuolar acidification","BP",27,24,0.429704819940821,0.3155,0.646034874905231
"GO:0031507","heterochromatin formation","BP",430,102,0.201338516373754,0.3152,0.646034874905231
"GO:0032154","cleavage furrow","CC",54,54,0.280320467960536,0.3144,0.646034874905231
"GO:0043277","apoptotic cell clearance","BP",17,17,0.517883267423176,0.3156,0.646034874905231
"GO:0099565","chemical synaptic transmission, postsynaptic","BP",33,17,0.517820073561439,0.3156,0.646034874905231
"GO:0120009","intermembrane lipid transfer","BP",28,23,0.440211847832123,0.315,0.646034874905231
"GO:0042759","long-chain fatty acid biosynthetic process","BP",19,19,0.486289591852947,0.3159,0.646159090909091
"GO:0070372","regulation of ERK1 and ERK2 cascade","BP",32,30,0.381197485046439,0.3164,0.6466919000757
"GO:0030286","dynein complex","CC",20,20,0.473630338766591,0.3167,0.646815431164902
"GO:0097718","disordered domain specific binding","MF",26,24,0.429294606183701,0.3172,0.64734693877551
"GO:0034599","cellular response to oxidative stress","BP",106,103,0.20010836766646,0.3181,0.64869335347432
"GO:0045182","translation regulator activity","MF",25,18,0.50101320321073,0.3185,0.649018867924528
"GO:0016605","PML body","CC",109,106,0.19737453117607,0.3188,0.649140271493213
"GO:0005452","solute:inorganic anion antiporter activity","MF",20,20,0.472989330472718,0.3193,0.649668425018839
"GO:0015908","fatty acid transport","BP",26,25,0.420227445786938,0.3198,0.65015026296018
"GO:0030220","platelet formation","BP",17,16,0.534044715216971,0.3205,0.65015026296018
"GO:0050661","NADP binding","MF",39,37,0.341212997759695,0.3202,0.65015026296018
"GO:0072593","reactive oxygen species metabolic process","BP",22,20,0.472579412247487,0.3204,0.65015026296018
"GO:0008360","regulation of cell shape","BP",103,97,0.206184588319166,0.3222,0.653108108108108
"GO:0060999","positive regulation of dendritic spine development","BP",19,17,0.515697960770952,0.3228,0.653343328335832
"GO:1900016","negative regulation of cytokine production involved in inflammatory response","BP",49,32,0.368304936386483,0.3226,0.653343328335832
"GO:0016787","hydrolase activity","MF",164,154,0.162369258319928,0.3236,0.65438622754491
"GO:0071347","cellular response to interleukin-1","BP",53,51,0.287909719621936,0.3238,0.65438622754491
"GO:0051298","centrosome duplication","BP",25,23,0.438259501708507,0.3242,0.654704562453254
"GO:0005543","phospholipid binding","MF",135,130,0.177280517753733,0.3246,0.655022421524664
"GO:0004697","diacylglycerol-dependent serine/threonine kinase activity","MF",16,16,0.532797155005182,0.325,0.655339805825243
"GO:0000178","exosome (RNase complex)","CC",17,17,0.515070183084353,0.3255,0.655369127516779
"GO:0097193","intrinsic apoptotic signaling pathway","BP",44,41,0.322018965597789,0.3255,0.655369127516779
"GO:0016757","glycosyltransferase activity","MF",62,60,0.264594791564551,0.3266,0.656604616530156
"GO:0051287","NAD binding","MF",37,36,0.344981892121686,0.3264,0.656604616530156
"GO:0031398","positive regulation of protein ubiquitination","BP",64,62,0.259758616899156,0.3269,0.65671875
"GO:2000042","negative regulation of double-strand break repair via homologous recombination","BP",25,25,0.418663175005936,0.3278,0.658037174721189
"GO:0000793","condensed chromosome","CC",36,35,0.350585097223448,0.3284,0.65826280623608
"GO:0031492","nucleosomal DNA binding","MF",48,41,0.321669227493117,0.3282,0.65826280623608
"GO:0000976","transcription cis-regulatory region binding","MF",317,304,0.114422967287652,0.3294,0.658449039881832
"GO:0005154","epidermal growth factor receptor binding","MF",35,35,0.350517083755836,0.329,0.658449039881832
"GO:0006469","negative regulation of protein kinase activity","BP",20,19,0.482707760724312,0.3299,0.658449039881832
"GO:0006641","triglyceride metabolic process","BP",22,18,0.497695160848745,0.3301,0.658449039881832
"GO:0015986","proton motive force-driven ATP synthesis","BP",24,21,0.457220770525366,0.3301,0.658449039881832
"GO:0030216","keratinocyte differentiation","BP",49,45,0.306917560677016,0.3301,0.658449039881832
"GO:0031124","mRNA 3'-end processing","BP",42,32,0.367074571207031,0.3302,0.658449039881832
"GO:0032024","positive regulation of insulin secretion","BP",48,45,0.306892775216575,0.3305,0.658560885608856
"GO:0032426","stereocilium tip","CC",20,17,0.513275440947613,0.3308,0.658672566371681
"GO:0051453","regulation of intracellular pH","BP",38,34,0.35461108061638,0.3311,0.658784082535004
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",65,63,0.257324402332714,0.3317,0.659316176470588
"GO:0031573","mitotic intra-S DNA damage checkpoint signaling","BP",20,18,0.497392296013538,0.3321,0.659316176470588
"GO:0090734","site of DNA damage","CC",54,52,0.284320720794737,0.3321,0.659316176470588
"GO:1902166","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","BP",15,15,0.544910642861759,0.3338,0.662204261572373
"GO:1904115","axon cytoplasm","CC",58,58,0.268577084165757,0.3361,0.666277533039648
"GO:0006911","phagocytosis, engulfment","BP",23,22,0.445575271223255,0.3377,0.668863636363636
"GO:0042026","protein refolding","BP",25,23,0.43475703004739,0.3379,0.668863636363636
"GO:0006897","endocytosis","BP",126,126,0.179482772166081,0.3392,0.66996342355523
"GO:0030522","intracellular receptor signaling pathway","BP",43,39,0.329685063613155,0.3391,0.66996342355523
"GO:0042923","neuropeptide binding","MF",24,22,0.445237167204874,0.3391,0.66996342355523
"GO:0030001","metal ion transport","BP",31,31,0.371018451690968,0.3419,0.673916849015317
"GO:0030307","positive regulation of cell growth","BP",88,80,0.226831728791484,0.3418,0.673916849015317
"GO:0035025","positive regulation of Rho protein signal transduction","BP",30,30,0.376615350226724,0.3422,0.673916849015317
"GO:0045454","cell redox homeostasis","BP",46,41,0.320162816344348,0.3421,0.673916849015317
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","BP",46,41,0.320052086805709,0.3432,0.675393586005831
"GO:0000776","kinetochore","CC",156,141,0.169327546570021,0.3442,0.676768558951965
"GO:0005834","heterotrimeric G-protein complex","CC",36,34,0.352810213417239,0.3444,0.676768558951965
"GO:0071539","protein localization to centrosome","BP",21,21,0.453657712918847,0.3448,0.677061818181818
"GO:0048193","Golgi vesicle transport","BP",21,21,0.453466460490553,0.3454,0.677747093023256
"GO:0031100","animal organ regeneration","BP",22,22,0.443760395119269,0.346,0.67843137254902
"GO:0045429","positive regulation of nitric oxide biosynthetic process","BP",39,31,0.370247445016184,0.3472,0.680290275761974
"GO:0005891","voltage-gated calcium channel complex","CC",29,29,0.38312794375565,0.3475,0.680384336475707
"GO:0048384","retinoic acid receptor signaling pathway","BP",19,18,0.492996207700448,0.3497,0.683205499276411
"GO:0140664","ATP-dependent DNA damage sensor activity","MF",21,17,0.507810146272187,0.3496,0.683205499276411
"GO:1990380","K48-linked deubiquitinase activity","MF",18,17,0.507737443961232,0.3497,0.683205499276411
"GO:0017134","fibroblast growth factor binding","MF",24,24,0.421577744081348,0.3506,0.68366258111031
"GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway","BP",123,84,0.220739008182825,0.3512,0.68366258111031
"GO:0030971","receptor tyrosine kinase binding","MF",66,65,0.251786774125341,0.3506,0.68366258111031
"GO:0070888","E-box binding","MF",63,58,0.267127047383009,0.3512,0.68366258111031
"GO:0071318","cellular response to ATP","BP",18,18,0.492585893066199,0.3512,0.68366258111031
"GO:0035371","microtubule plus-end","CC",25,25,0.413366877158199,0.3526,0.685893371757925
"GO:0060340","positive regulation of type I interferon-mediated signaling pathway","BP",19,17,0.506809090094915,0.3529,0.685982721382289
"GO:0030488","tRNA methylation","BP",30,28,0.38955551064434,0.3536,0.686848920863309
"GO:0044853","plasma membrane raft","CC",43,42,0.315428866515961,0.3545,0.68760775862069
"GO:0051246","regulation of protein metabolic process","BP",19,19,0.475437151122116,0.3545,0.68760775862069
"GO:0005513","detection of calcium ion","BP",15,15,0.537738015898083,0.3548,0.687695620961953
"GO:0045505","dynein intermediate chain binding","MF",36,36,0.340883335186005,0.3551,0.687783357245337
"GO:0003841","1-acylglycerol-3-phosphate O-acyltransferase activity","MF",21,20,0.464340304039478,0.3558,0.688645161290323
"GO:0008009","chemokine activity","MF",50,36,0.340778602283095,0.3564,0.689312320916905
"GO:0045995","regulation of embryonic development","BP",55,49,0.29047907509468,0.3573,0.690558339298497
"GO:0048568","embryonic organ development","BP",25,25,0.412129309584984,0.3579,0.691223175965665
"GO:0010881","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion","BP",23,21,0.450470821845277,0.3586,0.691778571428571
"GO:0140627","ubiquitin-dependent protein catabolic process via the C-end degron rule pathway","BP",24,16,0.522148596539304,0.3587,0.691778571428571
"GO:0005828","kinetochore microtubule","CC",30,24,0.419821016106147,0.3603,0.692391459074733
"GO:0030855","epithelial cell differentiation","BP",90,82,0.222877668089335,0.3603,0.692391459074733
"GO:0051894","positive regulation of focal adhesion assembly","BP",26,26,0.403710284428944,0.3597,0.692391459074733
"GO:0098655","monoatomic cation transmembrane transport","BP",76,65,0.251091392238314,0.36,0.692391459074733
"GO:0140467","integrated stress response signaling","BP",48,26,0.40363969802472,0.3601,0.692391459074733
"GO:0009306","protein secretion","BP",50,46,0.300066518744531,0.3617,0.694587482219061
"GO:0005782","peroxisomal matrix","CC",51,51,0.283949603781705,0.3624,0.695326704545455
"GO:0051881","regulation of mitochondrial membrane potential","BP",26,26,0.40297004154047,0.3626,0.695326704545455
"GO:0006402","mRNA catabolic process","BP",39,37,0.335167015067923,0.3637,0.695953224663359
"GO:0016358","dendrite development","BP",23,23,0.430065986920345,0.3636,0.695953224663359
"GO:0016740","transferase activity","MF",26,26,0.402866727031559,0.3636,0.695953224663359
"GO:0004550","nucleoside diphosphate kinase activity","MF",18,16,0.520192250371969,0.3643,0.696607648725212
"GO:0006506","GPI anchor biosynthetic process","BP",32,31,0.367338113063281,0.3653,0.696927966101695
"GO:0010043","response to zinc ion","BP",25,25,0.410795365656052,0.3655,0.696927966101695
"GO:1902531","regulation of intracellular signal transduction","BP",41,40,0.322028538286612,0.3652,0.696927966101695
"GO:2000811","negative regulation of anoikis","BP",19,18,0.489322975974568,0.3648,0.696927966101695
"GO:0008305","integrin complex","CC",27,27,0.393455049804984,0.3662,0.6974682651622
"GO:0070050","neuron cellular homeostasis","BP",20,20,0.46201439888989,0.3663,0.6974682651622
"GO:0018105","peptidyl-serine phosphorylation","BP",33,33,0.355699974596075,0.3667,0.697737843551797
"GO:0008283","cell population proliferation","BP",89,85,0.217903036235747,0.3684,0.699493670886076
"GO:0046332","SMAD binding","MF",53,50,0.286676038237017,0.368,0.699493670886076
"GO:0140416","transcription regulator inhibitor activity","MF",47,46,0.299336899244536,0.3682,0.699493670886076
"GO:0097194","execution phase of apoptosis","BP",21,20,0.461546989611694,0.3687,0.699571328179902
