"gene","log2FoldChange","AveExpr","t","pvalue","padj"
"TWIST1",2.69621942622147,0.841908401543674,27.325812430504,2.31406459444697e-10,1.82701249284598e-06
"CENPP",-2.88420029324309,0.721050073310772,-26.5838537072368,2.99755946324197e-10,1.82701249284598e-06
"TSPAN6",-2.2348332509301,0.576152715836168,-20.5522468546012,3.33571697892167e-09,1.35541299910184e-05
"ITGA2B",-3.09122124269471,1.5648098147185,-19.3039497353154,5.97778336443169e-09,1.82172948031056e-05
"TRIO",1.75641738520359,0.709101477115522,18.5120216015282,8.82088511231223e-09,2.0805846632577e-05
"TGIF2LX",1.40857534927996,0.35214383731999,18.2165078834323,1.02407776698492e-08,2.0805846632577e-05
"EYA1",-1.64366505066537,0.530808543142909,-17.5117299188618,1.47585390510802e-08,2.57009415760954e-05
"SCN9A",1.35838354551258,0.966704078435665,15.5120518626597,4.5133807817781e-08,6.87726396623437e-05
"SH3PXD2B",1.1801070232478,0.354604548637917,15.3037600197329,5.10964162979226e-08,6.92072571857418e-05
"RGAG1",-1.19746956306119,0.460474009135731,-15.078342891783,5.85440181018637e-08,7.13651580661718e-05
"IGSF11",-1.25862237759359,0.56046954552455,-14.9074237289204,6.49885173044186e-08,7.20190932673511e-05
"SYK",1.60389839972563,1.81977012704168,13.5988820876539,1.50263774734436e-07,0.000152642951167731
"FUT8",2.94169189330709,1.67187494738215,13.2548931411672,1.89609954830408e-07,0.000177795796106359
"HOXA1",1.80118879902797,0.468490912145417,12.885025863325,2.44992363535442e-07,0.000213318350821217
"SRGN",-4.31625464265325,5.00513866010801,-12.4869858936391,3.25225322139576e-07,0.000264299778458762
"CHST3",1.10293081326589,0.292202208257264,12.2797834855813,3.78117851809534e-07,0.000288078538347389
"GRID1",-0.995205518969908,0.341506852900108,-12.172060651708,4.09299043690169e-07,0.000293491490740186
"DCAF8L2",-1.78557058198553,0.503156404031051,-11.6119027230788,6.24412284700539e-07,0.000422865875027754
"ARHGDIB",-3.71830295580569,2.82152905988551,-11.4988048518533,6.81478373673709e-07,0.000437222177635922
"CSAG3",-1.31698135625878,2.16252852214238,-10.882490394227,1.11263450397251e-06,0.000678150730171246
"AR",0.771722249945798,0.195540299992167,10.7272547239336,1.26364497767769e-06,0.000733515822756719
"CES1",-1.99520632385225,0.539073634951395,-10.540024711166,1.47643066446539e-06,0.000798001237874711
"DOCK8",1.61665774367686,2.86481415233725,10.5166378278187,1.50566271297115e-06,0.000798001237874711
"S100A6",-4.40117870294406,3.25049377693662,-10.1539288843564,2.050662740383e-06,0.00101502803707655
"ADAMTS9",1.39360780803214,0.514464684898745,10.136576639335,2.08168178235551e-06,0.00101502803707655
"ADGRA3",2.24790086910694,0.886487057592804,10.014951283284,2.31409765561891e-06,0.00107927681441379
"FAM84A",2.36038961882462,0.879607272243215,9.97786215623193,2.39052288672455e-06,0.00107927681441379
"PAPSS1",-3.16009789508476,2.97863879485826,-9.86840423403866,2.63267267250106e-06,0.00114615285277814
"HDAC9",0.88109583673796,0.428506659443614,9.71917353549901,3.00717783990283e-06,0.00126405165063502
"IL18",-1.87387746232233,1.46918829100737,-9.66914949923934,3.14548411272564e-06,0.00127811504447085
"ZNF486",-1.88284373255055,0.747467852189283,-9.35946481161989,4.17333258940123e-06,0.0016410620730581
"CPZ",1.4467520245281,0.627020447387711,9.26517934169829,4.55547832756694e-06,0.00173535252540753
"RUNX3",0.794165568204025,0.223300088513447,8.87028526056987,6.62851861754052e-06,0.00244853460447936
"VPS35",1.10764830897934,5.63717213756067,8.76457682448357,7.34532127003065e-06,0.00256102349448751
"FMNL2",1.84409733951128,0.751925976902455,8.73718221556827,7.54462748255355e-06,0.00256102349448751
"KIF7",1.00085175168363,0.250212937920909,8.73465389210348,7.56331794926583e-06,0.00256102349448751
"EPS8",-1.01487381298677,0.341285444567529,-8.6290572035262,8.39102291357774e-06,0.00276450187341926
"SYTL5",1.03511330895137,0.465466065774879,8.51065375739539,9.43869601659174e-06,0.00302783432742772
"MYO16",2.05640806037904,1.60643027415448,8.36407069770766,1.09383816223112e-05,0.00336328361229986
"PLPP3",0.623114976703785,0.201517848483228,8.35528411940183,1.10362054546345e-05,0.00336328361229986
"LRP11",1.92871253210939,1.50832425533915,7.96086247735791,1.65858878310404e-05,0.00493126762586297
"ENAH",1.48449768602085,0.480613313604634,7.89465877849462,1.778655963919e-05,0.0051623371905173
"STXBP1",1.20263100791452,2.80232821504452,7.84412282118468,1.87668920600346e-05,0.0053201956793447
"DUSP16",0.692392063960358,2.02436206913757,7.81216498815208,1.94171645373341e-05,0.00537943717522961
"CCND2",3.40261805639276,2.95164695373027,7.676225333003,2.2471275888235e-05,0.00601074802774798
"DSG2",1.35113275238763,4.44422760013908,7.66759751276527,2.26820680292376e-05,0.00601074802774798
"AKR1C1",-1.39136504876163,5.89420977616063,-7.59730391994458,2.44820049885352e-05,0.00634969448532433
"NSMCE2",-0.642540920970694,4.47732469520274,-7.5587812766419,2.55340019845389e-05,0.00648457258732352
"NREP",-1.15993389091085,0.368057621406079,-7.43810192178838,2.91614378486151e-05,0.00725465157907384
"KANK1",1.63838968180413,0.516522022671355,7.37451357046727,3.12956850110676e-05,0.00762336776909782
"ZNF711",1.58566439454049,0.85860701861556,7.35752353713507,3.18943196246094e-05,0.00762336776909782
"AP4S1",0.82364789500732,1.41608648372503,7.257637518498,3.56757855212458e-05,0.0083064764098692
"LONRF1",0.69860945016634,1.11771945700349,7.24678627869791,3.61151148255183e-05,0.0083064764098692
"STARD10",-0.699395866667712,2.97465614447164,-7.19471246976607,3.83069433585735e-05,0.00864743776927798
"TTL",-0.538571516773353,4.00737335955485,-7.10515472236628,4.24226934542684e-05,0.00940241151286421
"PCOLCE",0.69340131478941,2.84931691554543,7.06866926124396,4.4235284462564e-05,0.0094870592984837
"CD37",-2.67417280360169,1.34947996076672,-7.06619642780597,4.43611468427868e-05,0.0094870592984837
"DGKG",0.49731917550637,0.321653911054,7.01708454570984,4.69432637695726e-05,0.00986617905777742
"ARMCX1",-0.840834731748387,0.292831354888904,-6.98227702426744,4.88721205720388e-05,0.0100974771147992
"BEX2",1.21888642961679,1.14442635494131,6.79608930612507,6.07657063640591e-05,0.0123455660096313
"ZNF829",-0.773933723223107,0.211620246149218,-6.78098064688383,6.18605297138646e-05,0.012361964872328
"ZFP82",-0.761962709957632,1.64467487187337,-6.73278969696136,6.54981998354917e-05,0.0128777912257201
"RASSF5",-1.68222345224258,3.16611274470441,-6.64824373659339,7.24539437659363e-05,0.0138094624423365
"TUSC3",0.626031446849373,3.61706529033678,6.63808522225286,7.33422517630419e-05,0.0138094624423365
"RCSD1",-1.17312321152705,4.12087053787483,-6.63332206018672,7.37628293900089e-05,0.0138094624423365
"ESRRB",1.53840582954472,2.7301578422971,6.62205422507981,7.4768213387548e-05,0.0138094624423365
"SPRR2D",-1.00003105912841,0.568012416619286,-6.57898679422111,7.87502259660063e-05,0.0143278396197853
"AMIGO2",0.878226333410096,1.41695929635174,6.56102703737511,8.04782661006489e-05,0.0143763414268508
"PPP1R15B",-0.677817807785349,4.43394240855259,-6.55186606550384,8.13755175104763e-05,0.0143763414268508
